text,clean_text,label
จะคุยกับยายๆยายก็หลับหมดละ,จะคุยกับยายๆยายก็หลับหมดละ,1
เพราะคุณไม่ได้รู้สึกพึงพอใจกับมัน,เพราะคุณไม่ได้รู้สึกพึงพอใจกับมัน,0
เธอเคยได้ยินไหมว่าทุกสิ่งล้วนเป็นอนิจจังไม่เที่ยง,เธอเคยได้ยินไหมว่าทุกสิ่งล้วนเป็นอนิจจังไม่เที่ยง,1
ดรีมจำอะไรไม่ได้,ดรีมจำอะไรไม่ได้,1
มีอะไรของตัวเองก็อายุราวๆนี้,มีอะไรของตัวเองก็อายุราวๆนี้,1
หรือถ้าจะให้ดีเห็นคงต้องเรียกเพื่อนคู่คิดถึงจะถูก,หรือถ้าจะให้ดีเห็นคงต้องเรียกเพื่อนคู่คิดถึงจะถูก,0
ตอนที่เรียนรู้ธรรมะเป็นโอกาส,ตอนที่เรียนรู้ธรรมะเป็นโอกาส,1
เอาล่ะมาเล่าต่อกันดีกว่าวันที่มกราคม,เอาล่ะมาเล่าต่อกันดีกว่าวันที่มกราคม,1
ยินดีที่ครั้งนึงเคยได้รู้จักกันลาก่อนได้เวลาขึ้นยานแล้วฉันตื่นมาไม่มีคุณอยู่ตรงนั้น,ยินดีที่ครั้งนึงเคยได้รู้จักกันลาก่อนได้เวลาขึ้นยานแล้วฉันตื่นมาไม่มีคุณอยู่ตรงนั้น,0
หากมันมีประโยชน์จงช่วยกันแชร์เพื่อสร้างความเข้าใจเกี่ยวกับการรับมือคนป่วยโรคซึมเศร้ากันดีกว่าค่ะ,หากมันมีประโยชน์จงช่วยกันแชร์เพื่อสร้างความเข้าใจเกี่ยวกับการรับมือคนป่วยโรคซึมเศร้ากันดีกว่าค่ะ,1
แม้แต่จะหลั่งน้ำตาให้เธอ,แม้แต่จะหลั่งน้ำตาให้เธอ,0
นำเขาเข้าสู่สิ่งแปลกประหลาดยากจะอธิบายที่เรียกว่าความทรงจำฝังพวกเขาเหล่านั้นเอาไว้และปิดผนึกแน่นหนาราวกับกลัวว่าจะมีใครมาเปิดออกคงจะจริงอย่างที่ใครเขาว่ากันว่ายิ่งผูกพันยิ่งยากจะเอ่ยลาหวนมองวันเหล่านั้นงดงามดั่งฝันวันนี้เป็นพิธีจบการศึกษาอย่างเป็นทางการเสียงจ้อกแจ้กดังขึ้นตลอดเวลาที่จัดกิจกรรมป้ายปีการศึกษาขนาดใหญ่ถูกห้อยอยู่พร้อมๆกับลูกโป่งสีประจำโรงเรียนที่ถูกโยนลงมาจากชั้นบนฉันไม่ใช่คนที่อินกับพิธีจบการศึกษาอะไรขนาดนั้นหากแต่พอรู้ว่านี่คือการอยู่รวมกันมากมายครั้งสุดท้ายมันก็อดใจหายไม่ได้เลยแฮะทุกเรื่องราวเก็บไว้ย้ำเตือนใจฉันฉันเกลียดการจากลามันน่ากลัวเสมอเพราะเราไม่มีทางรู้เลยว่ามันจะพรากสิ่งใดไปจากเราบ้าง,นำเขาเข้าสู่สิ่งแปลกประหลาดยากจะอธิบายที่เรียกว่าความทรงจำฝังพวกเขาเหล่านั้นเอาไว้และปิดผนึกแน่นหนาราวกับกลัวว่าจะมีใครมาเปิดออกคงจะจริงอย่างที่ใครเขาว่ากันว่ายิ่งผูกพันยิ่งยากจะเอ่ยลาหวนมองวันเหล่านั้นงดงามดั่งฝันวันนี้เป็นพิธีจบการศึกษาอย่างเป็นทางการเสียงจ้อกแจ้กดังขึ้นตลอดเวลาที่จัดกิจกรรมป้ายปีการศึกษาขนาดใหญ่ถูกห้อยอยู่พร้อมๆกับลูกโป่งสีประจำโรงเรียนที่ถูกโยนลงมาจากชั้นบนฉันไม่ใช่คนที่อินกับพิธีจบการศึกษาอะไรขนาดนั้นหากแต่พอรู้ว่านี่คือการอยู่รวมกันมากมายครั้งสุดท้ายมันก็อดใจหายไม่ได้เลยแฮะทุกเรื่องราวเก็บไว้ย้ำเตือนใจฉันฉันเกลียดการจากลามันน่ากลัวเสมอเพราะเราไม่มีทางรู้เลยว่ามันจะพรากสิ่งใดไปจากเราบ้าง,0
ตลกดีใช่ไหมล่ะลองฟังเรื่องเล่าของเราสักหน่อยสิกาลครั้งหนึ่งอ่่า,ตลกดีใช่ไหมล่ะลองฟังเรื่องเล่าของเราสักหน่อยสิกาลครั้งหนึ่งอ่่า,0
ถ้าเป็นบ้าใครจะดูแลเราจะทำไงคิดมากมายแต่เป็นไม่บ่อยแต่เป็นทีก็นั่งน้ำตาไหลข้อที่กลัวตัวเองจะเสียชีวิต,ถ้าเป็นบ้าใครจะดูแลเราจะทำไงคิดมากมายแต่เป็นไม่บ่อยแต่เป็นทีก็นั่งน้ำตาไหลข้อที่กลัวตัวเองจะเสียชีวิต,1
เราแค่อยากคุยกับใครที่ไม่ใช่คนในบ้าน,เราแค่อยากคุยกับใครที่ไม่ใช่คนในบ้าน,1
ผมวิ่งเลียบถนนต่อไปทางค่อนข้างจะมืดและอันตราย,ผมวิ่งเลียบถนนต่อไปทางค่อนข้างจะมืดและอันตราย,0
เราอยากให้ดิลรู้จักเราเฉพาะในมุมที่เราเป็นคนดีก็พอ,เราอยากให้ดิลรู้จักเราเฉพาะในมุมที่เราเป็นคนดีก็พอ,0
ทำแบบทดสอบพบหมอ,ทำแบบทดสอบพบหมอ,1
ขออัพสั้นๆก่อนอัพยาวคืนนี้ครับ,ขออัพสั้นๆก่อนอัพยาวคืนนี้ครับ,1
ฉันพยายามจะฆ่าตัวตายอีกแล้ว,ฉันพยายามจะฆ่าตัวตายอีกแล้ว,1
ง่ายยากหนักเบา,ง่ายยากหนักเบา,1
อีกตั้งเดือน,อีกตั้งเดือน,1
ทำไมไม่ชอบความรู้สึกตอนนี้เอาชะเลยกริ้งกริ้งกริ้งเสียงโทรศัพท์ดังขึ้นปลุกฉันตื่นขึ้นมากลางดึกจากการหลับใหลที่ไม่รู้ว่าเผลอหลับไปตั้งแต่เมื่อไร,ทำไมไม่ชอบความรู้สึกตอนนี้เอาชะเลยกริ้งกริ้งกริ้งเสียงโทรศัพท์ดังขึ้นปลุกฉันตื่นขึ้นมากลางดึกจากการหลับใหลที่ไม่รู้ว่าเผลอหลับไปตั้งแต่เมื่อไร,0
เอาก็เอาอยู่ก้ะด้ะสักพักพยาบาลก็เรียกไปสอบถาม,เอาก็เอาอยู่ก้ะด้ะสักพักพยาบาลก็เรียกไปสอบถาม,1
มีความรู้สึกว่ามันอยู่ตรงนี้แหละแต่หายังไงก็ไม่เห็น,มีความรู้สึกว่ามันอยู่ตรงนี้แหละแต่หายังไงก็ไม่เห็น,1
กรีดข้อมือหมอจึงจัดหนักให้เต็มที่,กรีดข้อมือหมอจึงจัดหนักให้เต็มที่,1
เนื่องจากมีไข้มาด้วยก็ได้ยารักษาตามอาการไป,เนื่องจากมีไข้มาด้วยก็ได้ยารักษาตามอาการไป,1
และไม่ชอบการทำอะไรที่ทำให้ฉันต้องรู้สึกว่างเปล่ากลับหลงรักในการได้ทำอะไรหลายอย่างหรือการเรียนรู้สิ่งใหม่่ๆ,และไม่ชอบการทำอะไรที่ทำให้ฉันต้องรู้สึกว่างเปล่ากลับหลงรักในการได้ทำอะไรหลายอย่างหรือการเรียนรู้สิ่งใหม่่ๆ,0
แต่ผมก็ยังคงเลือกงานมากกว่า,แต่ผมก็ยังคงเลือกงานมากกว่า,0
สถานที่ที่เราจะยิ้มให้กันและมีความสุขไปพร้อมๆกัน,สถานที่ที่เราจะยิ้มให้กันและมีความสุขไปพร้อมๆกัน,0
จึงกลับมาพยายามโฟกัสถึงสิ่งที่อบอกทีละสเต็ป,จึงกลับมาพยายามโฟกัสถึงสิ่งที่อบอกทีละสเต็ป,1
เพราะคิดแบบนี้ก็เลย,เพราะคิดแบบนี้ก็เลย,1
ความคิดแบบฮันนาห์จากเรื่องเลยละ,ความคิดแบบฮันนาห์จากเรื่องเลยละ,1
เค้ากลับมาคิดถึงมัน,เค้ากลับมาคิดถึงมัน,0
เราคิดว่ามันคงเป็นเรื่องปกติที่คนอกหักที่ยังคิดวนเวียนเรื่องที่ทำให้เสียใจ,เราคิดว่ามันคงเป็นเรื่องปกติที่คนอกหักที่ยังคิดวนเวียนเรื่องที่ทำให้เสียใจ,1
ข้าพเจ้ามีสติครบถ้วนบริบูรณ์และได้ไตร่ตรองทุกอย่างอย่างมีสติแล้วจากเหตุการณ์ที่เกิดขึ้น,ข้าพเจ้ามีสติครบถ้วนบริบูรณ์และได้ไตร่ตรองทุกอย่างอย่างมีสติแล้วจากเหตุการณ์ที่เกิดขึ้น,1
ในทางกลับกันคนชอบเก็บตัวจะมีความสุขมากกว่าจากการหลั่งฮอร์โมนอะเซทิลโคลีน,ในทางกลับกันคนชอบเก็บตัวจะมีความสุขมากกว่าจากการหลั่งฮอร์โมนอะเซทิลโคลีน,0
มันเหมือนฉันโลเลอีกแล้ว,มันเหมือนฉันโลเลอีกแล้ว,1
เราเชื่อว่ามีหลายคนลำบากกว่าเรา,เราเชื่อว่ามีหลายคนลำบากกว่าเรา,1
บางครั้งก็คิดแบบนั้นแล้วนั่งหงึมต่ออีกชั่วโมงก็ตามแล้วอาการเป็นยังไงบ้างหลังผ่านไปปีนึงบอกคร่าวๆทั้งหมดก่อนค่อยมาวิจารณ์เนาะถ้าหากมีความเครียดทางกายเช่นทำงาน,บางครั้งก็คิดแบบนั้นแล้วนั่งหงึมต่ออีกชั่วโมงก็ตามแล้วอาการเป็นยังไงบ้างหลังผ่านไปปีนึงบอกคร่าวๆทั้งหมดก่อนค่อยมาวิจารณ์เนาะถ้าหากมีความเครียดทางกายเช่นทำงาน,1
ส่วนที่เหลือเผาเถอะฝังน่าจะเป็นการใช่พื้นที่เยอะเกินไปเรื่องทางกฏหมายอื่นๆ,ส่วนที่เหลือเผาเถอะฝังน่าจะเป็นการใช่พื้นที่เยอะเกินไปเรื่องทางกฏหมายอื่นๆ,1
คุณอาจจะพูดได้ว่าสมาธิทำให้มีสติ,คุณอาจจะพูดได้ว่าสมาธิทำให้มีสติ,1
สุดท้ายก็เทมันทุกอย่างแรกๆมันก็ปกตินะคะ,สุดท้ายก็เทมันทุกอย่างแรกๆมันก็ปกตินะคะ,1
สำหรับคนที่หลงรักเสน่ห์ของหนังสือ,สำหรับคนที่หลงรักเสน่ห์ของหนังสือ,0
ต่างจากคนทั่วไปเขานั่งบนเก้าอี้สูงข้างบาร์ด้วยตัวคนเดียวพร้อมด้วยใสในแก้วสั้นเตี้ย,ต่างจากคนทั่วไปเขานั่งบนเก้าอี้สูงข้างบาร์ด้วยตัวคนเดียวพร้อมด้วยใสในแก้วสั้นเตี้ย,0
เปิดเพลงเสียงดังแต่คนดูแลอพาร์ตเมนต์ก็ยังยืนยันว่าเพิ่งมีการเริ่มใช้กฎใหม่,เปิดเพลงเสียงดังแต่คนดูแลอพาร์ตเมนต์ก็ยังยืนยันว่าเพิ่งมีการเริ่มใช้กฎใหม่,0
หน้าอกแกประมาณคัพบีและไม่ได้หย่อนคล้อยแต่อย่างใด,หน้าอกแกประมาณคัพบีและไม่ได้หย่อนคล้อยแต่อย่างใด,0
พาพี่สะใภ้ไปโรงบาลเพราะจะมีน้องเลยเป็นจุดที่เราต้องทำงานทุกอย่างทั้งหมดด้วยตัวเราเองด้วยเนื้องานที่ค่อนข้างหนัก,พาพี่สะใภ้ไปโรงบาลเพราะจะมีน้องเลยเป็นจุดที่เราต้องทำงานทุกอย่างทั้งหมดด้วยตัวเราเองด้วยเนื้องานที่ค่อนข้างหนัก,1
แม่เราเคยมีปัญหาเกี่ยวกับเงินกู้จนเราจะเสียบ้านไป,แม่เราเคยมีปัญหาเกี่ยวกับเงินกู้จนเราจะเสียบ้านไป,1
เราคิดว่าการมีความฝันเป็นเรื่องที่ดีอย่างน่าเหลือเชื่อ,เราคิดว่าการมีความฝันเป็นเรื่องที่ดีอย่างน่าเหลือเชื่อ,0
หนึ่งเทอมถัดมา,หนึ่งเทอมถัดมา,1
เมื่อเริ่มกินยาตัวเดิมๆ,เมื่อเริ่มกินยาตัวเดิมๆ,1
สิ่งเหล่านี้เองที่ฉันได้จากกระบวนการในการจดช่วงนอกจากนี้ฉันยังได้ขจัดเรื่องราวที่ไม่จำเป็นออกจากหัวทันทีลงในคู่ใจ,สิ่งเหล่านี้เองที่ฉันได้จากกระบวนการในการจดช่วงนอกจากนี้ฉันยังได้ขจัดเรื่องราวที่ไม่จำเป็นออกจากหัวทันทีลงในคู่ใจ,0
มันคงต้องใช้เวลาอาจจะปีสิบปีหรือทั้งชีวิต,มันคงต้องใช้เวลาอาจจะปีสิบปีหรือทั้งชีวิต,1
นี่เป็นแค่การสรุป,นี่เป็นแค่การสรุป,1
ถ้าต้นเดิมมันตายไปน่ะอบอุ่นเฉกเช่นเตาผิงในบ้านหลังสีขาวของเอนเดียร์ในฤดูหนาวที่แม้จะเหลือที่ว่างในบ้านกว้างขวางเพราะบ้านทั้งหลังถูกยึดครองพื้นที่แค่เพียงคนสองคน,ถ้าต้นเดิมมันตายไปน่ะอบอุ่นเฉกเช่นเตาผิงในบ้านหลังสีขาวของเอนเดียร์ในฤดูหนาวที่แม้จะเหลือที่ว่างในบ้านกว้างขวางเพราะบ้านทั้งหลังถูกยึดครองพื้นที่แค่เพียงคนสองคน,0
ทำให้ครูขาดเวลาในการตามหาเครื่องมือและชุดความรู้ใหม่ๆทั้งในการออกแบบการเรียนการสอนตลอดจนการแก้ปัญหาที่สุดท้ายก็วนกลับมายังลูบแห่งการลงโทษที่คุ้นเคย,ทำให้ครูขาดเวลาในการตามหาเครื่องมือและชุดความรู้ใหม่ๆทั้งในการออกแบบการเรียนการสอนตลอดจนการแก้ปัญหาที่สุดท้ายก็วนกลับมายังลูบแห่งการลงโทษที่คุ้นเคย,0
พระเจ้าของเราจะมีลักษณะคล้ายเช่นนั้นด้วยหรือไม่,พระเจ้าของเราจะมีลักษณะคล้ายเช่นนั้นด้วยหรือไม่,0
เพราะอะไรทำไมคนที่อยากตายกลับตายไม่ได้สักทีแต่คนที่พยายามต่อสู้มากมายเพื่อต้องการอยู่ต่อกับคนที่เขารักกลับไม่ได้รับโอกาสมีชีวิต,เพราะอะไรทำไมคนที่อยากตายกลับตายไม่ได้สักทีแต่คนที่พยายามต่อสู้มากมายเพื่อต้องการอยู่ต่อกับคนที่เขารักกลับไม่ได้รับโอกาสมีชีวิต,1
ผมไม่อาจตอบใครต่อใครได้ว่ามันถูกหรือผิด,ผมไม่อาจตอบใครต่อใครได้ว่ามันถูกหรือผิด,0
ทัศนียภาพที่แตกต่างฤดูกาล,ทัศนียภาพที่แตกต่างฤดูกาล,1
ทำไมเราถึงคิดว่ากรรมตามทันได้บนโซเชี่ยลเอางี้อย่างที่เราบอกไปว่ากรรมแท้จริงแล้วหมายถึงผลของการกระทำ,ทำไมเราถึงคิดว่ากรรมตามทันได้บนโซเชี่ยลเอางี้อย่างที่เราบอกไปว่ากรรมแท้จริงแล้วหมายถึงผลของการกระทำ,1
ไม่มีเซนส์เลยไม่เห็นไม่ได้ยินไม่ได้กลิ่น,ไม่มีเซนส์เลยไม่เห็นไม่ได้ยินไม่ได้กลิ่น,0
เป็นแสงดาวเล็กๆที่ค่อยนำทางให้กับฉันฉันที่กำลังเก็บของจะกลับหอหลังจากที่จัดงานอะไรทุกอย่าเสร็จแล้วแม่ก็ได้เดินเข้ามาพร้อมกับกล่องหนึ่งใบถือไว้ในมืออ่ะยายฝากไว้ให้แกก่อนจะวูบเข้าโรงบาลกล่องดนตรี,เป็นแสงดาวเล็กๆที่ค่อยนำทางให้กับฉันฉันที่กำลังเก็บของจะกลับหอหลังจากที่จัดงานอะไรทุกอย่าเสร็จแล้วแม่ก็ได้เดินเข้ามาพร้อมกับกล่องหนึ่งใบถือไว้ในมืออ่ะยายฝากไว้ให้แกก่อนจะวูบเข้าโรงบาลกล่องดนตรี,0
หาหลักฐานมาพิสูจน์เอง,หาหลักฐานมาพิสูจน์เอง,1
แค่นี้ก็เพียงพอมันพอจริงๆนะ,แค่นี้ก็เพียงพอมันพอจริงๆนะ,0
มีความยืดหยุ่นต่อการเปลี่ยนแปลงเช่นการเปลี่ยนงานที่ใช้คนละทักษะน้อยกว่าเด็กรุ่นใหม่,มีความยืดหยุ่นต่อการเปลี่ยนแปลงเช่นการเปลี่ยนงานที่ใช้คนละทักษะน้อยกว่าเด็กรุ่นใหม่,0
ถ้าตอนนั้นฉันลองยิ้มให้ตัวเองหน้ากระจก,ถ้าตอนนั้นฉันลองยิ้มให้ตัวเองหน้ากระจก,0
แจ็คเก็ตสุดหล่อเข้าคู่กับยีนสีกรม,แจ็คเก็ตสุดหล่อเข้าคู่กับยีนสีกรม,0
นั่นมันฟังดูแย่พอมั้ยละ,นั่นมันฟังดูแย่พอมั้ยละ,0
มันเป็นอาการจุกในอก,มันเป็นอาการจุกในอก,0
เลขห้องล่ะห้องเราเลขอะไรกันนะเี้ยละอะไรวะเนี่ยต้องโทรหาใครซักคน,เลขห้องล่ะห้องเราเลขอะไรกันนะเี้ยละอะไรวะเนี่ยต้องโทรหาใครซักคน,0
จะกลายเป็นท่านเองที่โดนดูดพลังไป,จะกลายเป็นท่านเองที่โดนดูดพลังไป,1
ตอนฉันขึ้นป,ตอนฉันขึ้นป,1
เป็นการเอาใจใส่มากกว่าการทำสิ่งดีๆให้ควรเติมเต็มในสิ่งที่ขาดมากกว่าการวางเพิ่มลงไปแค่ก้าวเดียวก็พอการได้ใช้ชีวิตในแบบของฉันและพึงพอใจกับทุกสิ่งที่ได้รับนั่นคือความสุขถือเสียว่าความรู้สึกซึมเศร้าเองก็เป็นเหมือนเพื่อนที่แวะมาหา,เป็นการเอาใจใส่มากกว่าการทำสิ่งดีๆให้ควรเติมเต็มในสิ่งที่ขาดมากกว่าการวางเพิ่มลงไปแค่ก้าวเดียวก็พอการได้ใช้ชีวิตในแบบของฉันและพึงพอใจกับทุกสิ่งที่ได้รับนั่นคือความสุขถือเสียว่าความรู้สึกซึมเศร้าเองก็เป็นเหมือนเพื่อนที่แวะมาหา,0
มีด้วยกันข้อหัวเริ่มกันเลยนะจ้ะความรู้สึกก่อนมาพบคุณหมอก่อนมาพบคุณหมอสักสองสามวัน,มีด้วยกันข้อหัวเริ่มกันเลยนะจ้ะความรู้สึกก่อนมาพบคุณหมอก่อนมาพบคุณหมอสักสองสามวัน,1
บันทึกบำบัดตอนคงเพราะเราไม่ค่อยเจอคนใจดีในชีวิตเราจริงๆนะ,บันทึกบำบัดตอนคงเพราะเราไม่ค่อยเจอคนใจดีในชีวิตเราจริงๆนะ,1
มันคล้ายภาพวาดของจิตรกรชื่อดังแสนลํ้าค่าเรารักมัน,มันคล้ายภาพวาดของจิตรกรชื่อดังแสนลํ้าค่าเรารักมัน,0
ผู้คนแบ่งขั้วมากขึ้นรัฐแทรกแซงการเลือกตั้งมากขึ้น,ผู้คนแบ่งขั้วมากขึ้นรัฐแทรกแซงการเลือกตั้งมากขึ้น,0
เขากำลังให้ความไว้วางใจกับเรา,เขากำลังให้ความไว้วางใจกับเรา,0
มีดังนี้,มีดังนี้,1
วันนี้ก็เป็นวันที่แล้วไม่รู้ว่าใครหลายๆคนจะเป็นเหมือนกันมั้ยที่เวลาตอนกินไอ้ยาที่เราจำเป็นต้องกินเนี่ย,วันนี้ก็เป็นวันที่แล้วไม่รู้ว่าใครหลายๆคนจะเป็นเหมือนกันมั้ยที่เวลาตอนกินไอ้ยาที่เราจำเป็นต้องกินเนี่ย,1
ความเศร้ามันจะมีเวลาหายของมันเองแต่โรคซึมเศร้านั้น,ความเศร้ามันจะมีเวลาหายของมันเองแต่โรคซึมเศร้านั้น,1
